evid,auth,etype,magnitude,lat,lon,datetime,depth,place,timestamp
62215921,UW,eq,3.33,41.218,-116.61766666666666,1764514738.8799973,-1.52,"268.1 km SSW from Boise, ID",2025-11-30T14:58:58.879Z
62214826,UW,eq,3.01,43.493833333333335,-127.06283333333333,1763959066.7799988,18.71,"231 km WNW from Coos Bay, OR",2025-11-24T04:37:46.779Z
62214776,UW,eq,3.18,45.07533333333333,-123.1575,1763913506,15.1,"17.6 km NNW from Salem, OR",2025-11-23T15:58:26.000Z
62214426,UW,eq,3.31,48.79683333333333,-119.505,1763683525.83,16.05,"48.1 km NNE from Okanogan, WA",2025-11-21T00:05:25.830Z
62203467,UW,eq,3.2,43.416,-126.871,1762652273.7799988,10.78,"215.3 km WNW from Coos Bay, OR",2025-11-09T01:37:53.779Z
62203337,UW,eq,3.06,43.2795,-127.499,1762618728.329998,4.15,"266.5 km W from Coos Bay, OR",2025-11-08T16:18:48.329Z
62203152,UW,eq,3.08,43.8355,-126.68883333333333,1762486114.5699997,5.82,"206.4 km WNW from Coos Bay, OR",2025-11-07T03:28:34.570Z
62204091,UW,eq,4.53,43.228833333333334,-127.0825,1760875475.8199997,5.82,"233.2 km W from Coos Bay, OR",2025-10-19T12:04:35.820Z
62194537,UW,eq,3.14,41.24733333333333,-116.77033333333333,1760614601.4199982,-1.44,"266.7 km SSW from Boise, ID",2025-10-16T11:36:41.419Z
62194027,UW,eq,3.28,50.671,-124.37,1760496951.6899986,0.98,"118.3 km NNE from Courtenay, BC",2025-10-15T02:55:51.689Z
62201966,UW,eq,3.18,43.44166666666667,-127.87033333333333,1760390875.4199982,0.84,"296.2 km WNW from Coos Bay, OR",2025-10-13T21:27:55.419Z
62200451,UW,eq,3.06,43.6315,-127.45666666666666,1760165485.619999,4.84,"263.8 km WNW from Coos Bay, OR",2025-10-11T06:51:25.619Z
62190807,UW,eq,3.18,49.82666666666667,-123.607,1759902915.0299997,14.86,"35.5 km NW from Squamish, BC",2025-10-08T05:55:15.030Z
